date,open,high,low,close,amout,vol,str07
20201016,44.4,88.0,40.0,62.15,1157653120.0,23156164,65536
20201019,53.4,56.6,47.4,47.75,1071174144.0,20461355,65536
20201020,45.31,65.0,44.0,64.62,1194388736.0,22922302,65536
20201021,58.16,80.5,58.16,70.66,1581661440.0,23304792,65536
20201022,67.2,73.1,63.23,64.6,1072636800.0,16005326,65536
20201023,62.7,77.52,62.02,77.52,1584287232.0,21573959,65536
20201026,76.48,78.66,70.23,77.79,1252722048.0,16640181,65536
20201027,77.66,78.5,70.44,74.1,1162624384.0,15617546,65536
20201028,72.65,78.87,69.99,72.45,1145554944.0,15515595,65536
20201029,67.0,69.08,64.59,64.8,922016384.0,13873068,65536
20201030,64.94,65.12,56.7,57.7,720446848.0,12004708,65536
20201102,57.71,63.55,56.11,61.0,713953600.0,11947469,65536
20201103,59.19,61.95,58.42,59.78,508920896.0,8519211,65536
20201104,60.0,61.23,56.91,57.48,437040160.0,7453397,65536
20201105,57.02,63.24,57.02,61.5,742296448.0,12201500,65536
20201106,60.4,64.39,59.71,63.3,749132608.0,12010176,65536
20201109,63.29,64.88,60.55,63.68,679779584.0,10890846,65536
20201110,62.8,63.55,59.72,60.68,537936768.0,8758993,65536
20201111,59.33,62.68,58.66,58.9,423101408.0,6972191,65536
20201112,57.66,58.49,53.5,54.5,442806784.0,7970383,65536
20201113,54.11,55.69,53.5,54.69,200635776.0,3685939,65536
20201116,54.83,59.99,53.01,57.99,403915840.0,7100229,65536
20201117,57.6,62.01,56.59,60.12,533915456.0,8970146,65536
20201118,59.0,61.79,57.5,57.94,431335552.0,7247003,65536
20201119,56.0,57.26,54.51,55.85,336159136.0,6021499,65536
20201120,55.4,56.5,54.8,55.87,261231392.0,4701625,65536
20201123,55.8,55.85,53.1,54.0,270232960.0,4998055,65536
20201124,53.9,55.0,53.31,54.17,158008864.0,2921310,65536
20201125,54.09,54.5,51.03,51.44,246418448.0,4718243,65536
20201126,51.4,53.3,51.4,51.64,159544896.0,3058023,65536
20201127,51.15,52.0,50.2,50.39,163585664.0,3224687,65536
20201130,50.4,51.52,49.1,50.4,151696896.0,2992468,65536
20201201,50.0,51.7,49.52,50.96,153818016.0,3014638,65536
20201202,50.4,58.65,50.4,58.49,618885888.0,11199326,65536
20201203,56.02,59.2,55.23,57.51,572927296.0,10003327,65536
20201204,57.51,61.55,56.11,59.35,629540288.0,10699260,65536
20201207,57.73,64.89,57.07,59.84,727598272.0,11827980,65536
20201208,59.84,62.4,58.02,58.28,551269952.0,9212294,65536
20201209,56.61,59.48,55.8,56.18,441628480.0,7666292,65536
20201210,54.5,56.09,53.49,53.7,317607328.0,5816546,65536
20201211,53.7,54.38,51.03,52.09,238340416.0,4554088,65536
20201214,52.45,57.16,52.4,57.05,491602944.0,8944548,65536
